pk,title,overview,release_date,poster_path
191,Athena,"Hours after the tragic death of their youngest brother in unexplained circumstances, three siblings have their lives thrown into chaos.",2022-09-09,/s8B0GsFEebd0DW2spykLMxnc1Kn.jpg
192,Beauty Salon: Special Service,"A legendary beauty salon that is sure to become a regular once you go!”Sir, would you like to have a very hot service?”In order to overcome the financial difficulties of the beauty parlor,It begins to attract the male guests with the special technique that makes it from head to toe.Kurt, Firm, and ‘it’ to open the hair salon is good!",2016-12-29,/z3Vse8jRnmKJyZFK6VSw1G6jHnY.jpg
193,Legend of the Galactic Heroes: Die Neue These - Intrigue 1,"The story focuses on the exploits of rivals Reinhard von Lohengramm and Yang Wen-li, as they rise to power and fame in the Galactic Empire and the Free Planets Alliance, respectively.",2022-09-30,/brrgSFtcymZWaXl5a23GJRWdOSY.jpg
194,Lightyear,Legendary Space Ranger Buzz Lightyear embarks on an intergalactic adventure alongside a group of ambitious recruits and his robot companion Sox.,2022-06-15,/ox4goZd956BxqJH6iLwhWPL9ct4.jpg
195,The Ledge,"A rock climbing adventure between two friends turns into a terrifying nightmare. After Kelly captures the murder of her best friend on camera, she becomes the next target of a tight knit group of friends who will stop at nothing to destroy the evidence and anyone in their way.",2022-02-18,/S99eCSnRFfeZJmDaIGIZF58H7w.jpg
196,Venom: Let There Be Carnage,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",2021-09-30,/rjkmN1dniUHVYAtwuV3Tji7FsDO.jpg
197,Orgasm Inc: The Story of OneTaste,"A sexual wellness company gains fame and followers, then members come forward with shocking allegations.",2022-11-05,/yqI3XQ1nmvxFpBus1BescRrRBAj.jpg
198,Creed,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",2015-11-25,/1BfTsk5VWuw8FCocAhCyqnRbEzq.jpg
199,The Little Mermaid,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",2023-05-24,/ym1dxyOk4jFcSl4Q2zmRrA5BEEN.jpg
200,Shazam!,A boy is given the ability to become an adult superhero in times of need with a single magic word.,2019-03-29,/xnopI5Xtky18MPhK40cZAGAOVeV.jpg
201,Raped by an Angel 4: The Rapist's Union,"CIA agent turned HIV positive sexual predator Daniel (Ben Ng) uses his wealth and collection of high-tech gadgets to prey on unsuspecting women. After arranging for the prison breakout of notorious rapists ""Rain Killer"" Chan Kok-Wan (Ankee Leung) and ""Tuen Mun Rapist"" Ko Sheung-wai (	Chan Chi-Fai), Daniel invites the men to ravage the two women he has chained in the basement. He next sets his sights on Kwan Shi-han (Suki Kwan), the romance novelist next door, but, first, preys on her movie star friend, Icy (Yeung Fan). Desperate for a lead, the police consult a semi-reformed deviant known as ""The Human Milk Drinking Doctor"" (Anthony Wong), who used to prey on lactating women and now controls his sexual urges by working as a porno theatre projectionist.",1999-01-17,/c5mn7ejvETjHnazdwWmNQRmxKvO.jpg
202,The Lair,"Royal Air Force pilot Lt. Kate Sinclair is on her final flight mission when her jet is shot down over one of the most dangerous rebel strongholds in Afghanistan. She finds refuge in an abandoned underground bunker where deadly man-made creatures known as Ravagers — half-human, half-alien, and hungry for human flesh — are awakened.",2022-10-28,/ifRFLx83Xk1DcwAS3OScgI6HmWO.jpg
203,Abandoned,"After a young couple moves into a remote farmhouse with their infant son, the woman's struggles with postpartum psychosis begin to intensify... as the house reveals secrets of its own.",2022-06-17,/cO9ywQ2AMHM9EoBJsJGH1Gl9U5L.jpg
204,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",2012-04-25,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg
205,F9,Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.,2021-05-19,/bOFaAXmWWXC3Rbv4u4uM9ZSzRXP.jpg
206,The Boss Baby: Family Business,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,2021-07-01,/kv2Qk9MKFFQo4WQPaYta599HkJP.jpg
207,Soulmate,"Mi-so and Ha-eun meet in elementary school and quickly become best friends. In high school, Ha-eun meets Jin-woo and starts to have feelings for him, but he starts to have feelings for Mi-so. When they all meet again as adults, they are very different people, but they try to remember what friendship is really about.",2023-03-15,/AfcUiHQFHQ7Ywn3DmvefzNdZuXy.jpg
208,Matadero,"An American filmmaker arrives in the Argentinian pampa to film Matadero: a founding narrative of class struggle where a group of laborers slaughter their bosses like cattle. It is 1974, the violent persecution of the left has just begun in Argentina, and the young actors in the film are on the verge of taking a leap into full time clandestine militancy.",2022-12-09,/5uspXW13tEuWzy2HVxi75O96wLb.jpg
209,Piggy,A bullied overweight teenager sees a glimpse of hope when her tormentors are brutally abducted by a mesmerizing stranger.,2022-10-07,/pIFeu5gF7ofAxI9NqrWbJAjjKn6.jpg
210,Emily the Criminal,"Desperate for income, Emily takes a shady gig buying goods with stolen credit cards supplied by a charismatic middleman named Youcef. Seduced by the quick cash and illicit thrills, they hatch a plan to take their business to the next level.",2022-08-12,/iZvzMpREGiqDQ5eYbx8z70qPgst.jpg
211,Fantastic Beasts: The Secrets of Dumbledore,"Professor Albus Dumbledore knows the powerful, dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts magizoologist Newt Scamander to lead an intrepid team of wizards and witches. They soon encounter an array of old and new beasts as they clash with Grindelwald's growing legion of followers.",2022-04-06,/jrgifaYeUtTnaH7NF5Drkgjg2MB.jpg
212,Sex and Zen II,"Sai Moon-Kin is a rich man who idolizes Lawrence Ng's character in the original Sex and Zen, and works hard to please as many women as he possibly can. When marrying off his retarded son, he finds his son's new wife pretty hot, so he takes her for his own, not knowing that she is the evil Mirage Woman, who knows ""sucking"" magic that's pretty nasty. Tsui's daughter, who dresses like a man and wears chastity belt for the main part of the film, and the righteous Iron Man try to stop Mirage Woman before it's too late, which means that she'll have free rein to ""suck"" anyone she wishes.",1996-05-09,/p1Omevox7vCu8KohiqIEhFgfJcT.jpg
213,Evil Eye,"Nala, a thirteen-year-old girl from the city, travels with her family to her grandmother's home in the countryside, to try to find a cure for her little sister's mysterious illness - But she'll soon find her granny is not exactly what she seems...",2022-09-22,/vcym9A0idLCFI1iIMRFiXKRvnbs.jpg
214,Transformers: Rise of the Beasts,"A ‘90s globetrotting adventure that introduces the Maximals, Predacons, and Terrorcons to the existing battle on earth between Autobots and Decepticons.",2023-06-07,/qBcIUgJmDGrcAKbhRwCd6AmO0ZW.jpg
215,Babylon,"A tale of outsized ambition and outrageous excess, tracing the rise and fall of multiple characters in an era of unbridled decadence and depravity during Hollywood's transition from silent films and to sound films in the late 1920s.",2022-12-22,/wjOHjWCUE0YzDiEzKv8AfqHj3ir.jpg
216,Operation Fortune: Ruse de Guerre,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,2023-01-04,/uo7vWfQUlVwueYTDRicXOJa8Oow.jpg
217,Uncharted,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",2022-02-10,/rJHC1RUORuUhtfNb4Npclx0xnOf.jpg
218,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",2011-05-14,/keGfSvCmYj7CvdRx36OdVrAEibE.jpg
219,Harry Potter and the Deathly Hallows: Part 1,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",2010-10-06,/iGoXIpQb7Pot00EEdwpwPajheZ5.jpg
220,Un parcero en Nueva York,"Armando Pulido, a construction master, simple, good-hearted, hard-working, industrious, and a good friend, tired of the serious economic crisis in Colombia, decides to go to New York in search of the so-called ""American dream"".",2022-08-18,/nZLgLooB0zaixBiT5NHo06mCiyO.jpg
221,The Big 4,A by-the-book female detective teams up with four down-on-their-luck assassins to investigate her father's murder.,2022-12-19,/gxtf1bovLDyd0dMcKXdwVyqVsuK.jpg
222,Fifty Shades of Grey,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",2015-02-11,/63kGofUkt1Mx0SIL4XI4Z5AoSgt.jpg
223,The Ice Age Adventures of Buck Wild,The fearless one-eyed weasel Buck teams up with mischievous possum brothers Crash & Eddie as they head off on a new adventure into Buck's home: The Dinosaur World.,2022-01-28,/zzXFM4FKDG7l1ufrAkwQYv2xvnh.jpg
224,Orphan: First Kill,"After escaping from an Estonian psychiatric facility, Leena Klammer travels to America by impersonating Esther, the missing daughter of a wealthy family. But when her mask starts to slip, she is put against a mother who will protect her family from the murderous “child” at any cost.",2022-07-27,/pHkKbIRoCe7zIFvqan9LFSaQAde.jpg
225,"Monsters, Inc.","James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.",2001-11-01,/sgheSKxZkttIe8ONsf2sWXPgip3.jpg
226,Godzilla vs. Kong,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",2021-03-24,/pgqgaUx1cJb5oZQQ5v0tNARCeBp.jpg
227,The School for Good and Evil,Best friends Sophie and Agatha navigate an enchanted school for young heroes and villains — and find themselves on opposing sides of the battle between good and evil.,2022-10-19,/6oZeEu1GDILdwezmZ5e2xWISf1C.jpg
228,Shang-Chi and the Legend of the Ten Rings,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,2021-09-01,/d08HqqeBQSwN8i8MEvpsZ8Cb438.jpg
229,Fifty Shades Freed,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.",2018-01-17,/9ZedQHPQVveaIYmDSTazhT3y273.jpg
230,Drifting Home,"One fateful summer, a group of elementary school kids set adrift on an abandoned apartment building must look within themselves to find a way back home.",2022-09-09,/iNf1wC8cK6e8zgNyuMUqWFT7Din.jpg
231,The Soccer Football Movie,"When mysterious green slime monsters start popping out of soccer balls, all-star athletes Zlatan Ibrahimović and Megan Rapinoe must team up with their four biggest fans to stop evil scientist ""Weird Al"" Yankovic from stealing their talent.",2022-11-09,/sWoYDNPNZs5MtzPbirXV73tIHrA.jpg
232,Guardians of the Galaxy Volume 3,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",2023-05-03,/r2J02Z2OpNTctfOSN1Ydgii51I3.jpg
233,Detective Knight: Rogue,"As Los Angeles prepares for Halloween, mask-wearing armed robbers critically wound detective James Knight’s partner in a shootout following a heist. With Knight in hot pursuit, the bandits flee L.A. for New York, where the detective’s dark past collides with his present case and threatens to tear his world apart…unless redemption can claim Knight first.",2022-10-21,/2wj5iUJ2B5AQ1lFctJgUrHHsp9B.jpg
234,Fullmetal Alchemist: The Final Alchemy,"The Elric brothers’ long and winding journey comes to a close in this epic finale, where they must face off against an unworldly, nationwide threat.",2022-06-24,/AeyiuQUUs78bPkz18FY3AzNFF8b.jpg
235,Doraemon: Nobita's Little Star Wars 2021,"One day during summer vacation, a palm-sized alien named Papi appears from a small rocket that Nobita picks up. He is the president of Pirika, a small planet in outer space, and has come to Earth to escape the rebels. Doraemon and his friends are puzzled by Papi’s small size, but as they play together using the secret tool “Small Light”, they gradually become friends. However, a whale-shaped space battleship comes to earth and attacks Doraemon, Nobita and the others in order to capture Papi. Feeling responsible for getting everyone involved, Papi tries to stand up to the rebels. Doraemon and his friends leave for the planet Pirika to protect their dear friend and his home.",2022-03-04,/48gKZioIDeUOI0afbYv3kh9u9RQ.jpg
236,"Tad, the Lost Explorer and the Emerald Tablet","Tad accidentally unleashes an ancient spell, endangering the lives of his friends Mummy, Jeff, and Belzoni. With everyone against him and only helped by Sara, he sets off on an adventure to end the Curse of the Mummy.",2022-08-24,/jvIVl8zdNSOAJImw1elQEzxStMN.jpg
237,Cruella,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",2021-05-26,/wToO8opxkGwKgSfJ1JK8tGvkG6U.jpg
238,The Sea Beast,"In an era when terrifying beasts roamed the seas, monster hunters were celebrated heroes. None were more beloved than the great Jacob Holland. But when young Maisie Brumble stows away on his fabled ship, he's saddled with an unexpected ally. Together they embark on an epic journey into uncharted waters and make history.",2022-06-24,/9Zfv4Ap1e8eKOYnZPtYaWhLkk0d.jpg
239,Clifford the Big Red Dog,"As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.",2021-11-10,/oifhfVhUcuDjE61V5bS5dfShQrm.jpg
240,Summer Ghost,"An urban legend says that lighting fireworks at an abandoned airfield will beckon the ""summer ghost,"" a spirit that can answer any question. Three teenagers, Tomoya, Aoi, and Ryo, each have their own reason to show up one day. When a ghost named Ayane appears, she reveals she is only visible to those ""who are about to touch their death."" Compelled by the ghost and her message, Tomoya begins regularly visiting the airfield to uncover the true purpose of her visits.",2021-11-12,/mMXaAvvSw24hYNchhCtCM5z6fhB.jpg
241,Shrek 2,"Shrek, Fiona and Donkey set off to Far, Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and the King find it hard to get along, and there's tension in the marriage. The fairy godmother discovers that Shrek has married Fiona instead of her Son Prince Charming and sets about destroying their marriage.",2004-05-19,/2yYP0PQjG8zVqturh1BAqu2Tixl.jpg
242,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",2007-05-19,/jGWpG4YhpQwVmjyHEGkxEkeRf0S.jpg
243,Coraline,"A young girl discovers an idealized parallel universe behind a secret door in her new home, unaware that it contains a sinister secret.",2009-02-05,/gPMh5rsVrDDAYMDbTcz6Up1DQ4z.jpg
244,Blue's Big City Adventure,"When Josh gets the opportunity of a lifetime to audition for Rainbow Puppy’s Broadway musical, Josh and Blue skidoo to NYC for the very first time where they meet new friends and discover the magic of music, dance, and following one’s dreams.",2022-11-18,/5JV5nDPMYQLaZz2n0SmxQfMYfLn.jpg
245,Ant-Man,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",2015-07-14,/cj2gWN7TdH1iUG6pUQyqv9N2AXc.jpg
246,Avengers: Endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",2019-04-24,/or06FN3Dka5tukK1e9sl16pB3iy.jpg
247,The Conjuring: The Devil Made Me Do It,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",2021-05-25,/xbSuFiJbbBWCkyCCKIMfuDCA4yV.jpg
248,Big Hero 6,"A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",2014-10-24,/2mxS4wUimwlLmI1xp6QW6NSU361.jpg
249,Dirty Little Secret,"17 year-old Lucy who has been painfully isolated from her peers for years, refusing to let anyone near her house in order to hide her family secret – the overwhelming mountain of items filled in every crevice of space in her home. She quietly plans her escape to college while managing her mother Joanna’s hoarding disorder. Outwardly, a highly functioning nurse, Joanna maintains the dysfunction in their home with an obsessive grip but after a tragedy, Lucy must decide if she will hide her mother’s secret, or expose it to the world.",2022-06-11,/x8YccQBHd441TQvIOS9PMGBTh74.jpg
250,On the Line,A provocative and edgy radio host must play a dangerous game of cat and mouse with a mysterious caller who's kidnapped his family and is threatening to blow up the whole station.,2022-10-31,/AewaMdP1TisotuHQxPNUZVaKbyJ.jpg
251,Viking Wolf,"After witnessing a grotesque murder at a party in her new town, a teenager starts having strange visions and bizarre desires.",2022-11-18,/abBDzmy35A3Nkupn6wK2DKyFamd.jpg
252,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",2010-11-24,/ym7Kst6a4uodryxqbGOxmewF235.jpg
253,MexZombies,"A group of teenagers must face a zombie apocalypse, and help reestablish order.",2022-10-26,/pTxw4GFE3ZfzJfvuUsPyD5njAuI.jpg
254,Air,Discover the game-changing partnership between a then undiscovered Michael Jordan and Nike's fledgling basketball division which revolutionized the world of sports and culture with the Air Jordan brand.,2023-04-05,/76AKQPdH3M8cvsFR9K8JsOzVlY5.jpg
255,Pirates of the Caribbean: The Curse of the Black Pearl,"Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.",2003-07-09,/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg
256,Mortal Kombat,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",2021-04-07,/6Wdl9N6dL0Hi0T1qJLWSz6gMLbd.jpg
257,Ice Age,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.",2002-03-10,/gLhHHZUzeseRXShoDyC4VqLgsNv.jpg
258,King Shakir Recycle,"Scientists trying to solve the environmental crisis of pollution devise a way to send the collected garbage into space via rocket ships. When this garbage starts to land on alien planets, the outraged aliens head to Earth for revenge. King Shakir and his family must do their best to protect the world from alien destruction.",2022-07-14,/y0kGpKB2elapYboHklgn9wLTj9x.jpg
259,Polar,"MG, a policewoman who has been expelled from the Corps due to the problems with alcohol and drugs that she has had since the loss of her son, receives a call from a man asking her to look for Macarena Gómez, a popular TV actress.",2022-10-26,/efuKHH9LqBZB67AS87kprLgaYO8.jpg
260,RRR,A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.,2022-03-24,/nEufeZlyAOLqO2brrs0yeF1lgXO.jpg
261,Shrek Forever After,"A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love.",2010-05-16,/6HrfPZtKcGmX2tUWW3cnciZTaSD.jpg
262,"The Gangster, the Cop, the Devil","After barely surviving a violent attack by an elusive serial killer, crime boss Jang Dong-su finds himself forming an unlikely partnership with local detective Jung Tae-seok to catch the sadistic killer simply known as K.",2019-05-15,/oHlM4abRm6BzrRcz9Nup1uidw9H.jpg
263,Everything Everywhere All at Once,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",2022-03-24,/w3LxiVYdWWRvEVdn5RYq6jIqkb1.jpg
264,Luz Mala,A winter night. An isolated house in a small town. Two warring sides must join forces to survive an evil tied to one of the field's oldest legends.,2022-11-17,/yMZdLhcbszstxmdOH4cuuMxaSM7.jpg
265,Fast & Furious Presents: Hobbs & Shaw,"Ever since US Diplomatic Security Service Agent Hobbs and lawless outcast Shaw first faced off, they just have traded smack talk and body blows. But when cyber-genetically enhanced anarchist Brixton's ruthless actions threaten the future of humanity, they join forces to defeat him.",2019-08-01,/qRyy2UmjC5ur9bDi3kpNNRCc5nc.jpg
266,Out of the Blue,"After spending time in prison following an assault charge, Connor Bates now works in a library and spends his free time running, swimming, and trying to piece his world back together. When he meets Marilyn Chambers, the wife of a wealthy businessman, they collide into an intense physical and emotional relationship that quickly escalates into idle talk about her husband’s murder.",2022-08-26,/eIESpJgaGrAY1sABjBrBtgkd7hM.jpg
267,365 Days: This Day,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.",2022-04-27,/7qU0SOVcQ8BTJLodcAlulUAG16C.jpg
268,Luca,Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,2021-06-17,/8tABCBpzu3mZbzMB3sRzMEHEvJi.jpg
269,Coco,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",2017-10-27,/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg
270,The Northman,"Prince Amleth is on the verge of becoming a man when his father is brutally murdered by his uncle, who kidnaps the boy's mother. Two decades later, Amleth is now a Viking who's on a mission to save his mother, kill his uncle and avenge his father.",2022-04-07,/8p9zXB7M78nZpm215zHfqpknMeM.jpg
271,Dragon Ball Z: Resurrection 'F',"One peaceful day on Earth, two remnants of Frieza's army named Sorbet and Tagoma arrive searching for the Dragon Balls with the aim of reviving Frieza. They succeed, and Frieza subsequently seeks revenge on the Saiyans.",2015-04-18,/soq3AxjALdBfdPAm8H7yuMmNL5Y.jpg
272,Eternals,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",2021-11-03,/lFByFSLV5WDJEv3KabbdAF959F2.jpg
273,Breaking,"Desperate for money and running out of options, Marine veteran Brian Brown-Easley holds several people hostage inside a bank, setting the stage for a tense confrontation with police.",2022-08-25,/rKbgbzJbVM7MLjN7EwdO1QcIXCz.jpg
274,Renfield,"Having grown sick and tired of his centuries as Dracula's lackey, Renfield finds a new lease on life — and maybe even redemption — when he falls for feisty, perennially angry traffic cop Rebecca Quincy.",2023-04-07,/p6yUjhvNGQpFZilKwOKbxQ1eHlo.jpg
275,The Minute You Wake Up Dead,"A stockbroker in a small southern town gets embroiled in an insurance scam with a next-door neighbor that leads to multiple murders when a host of other people want in on the plot. Sheriff Thurmond Fowler, the by-the-book town sheriff for over four decades, works earnestly to try and unravel the town’s mystery and winds up getting more than he bargained for.",2022-11-04,/pUPwTbnAqfm95BZjNBnMMf39ChT.jpg
276,The Black Phone,"Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",2022-06-22,/lr11mCT85T1JanlgjMuhs9nMht4.jpg
277,Samaritan,"Thirteen year old Sam Cleary suspects that his mysteriously reclusive neighbor Mr. Smith is actually the legendary vigilante Samaritan, who was reported dead 25 years ago. With crime on the rise and the city on the brink of chaos, Sam makes it his mission to coax his neighbor out of hiding to save the city from ruin.",2022-08-25,/zgH8Ej50n2cvJCMJrxd4twEwSqz.jpg
278,Moonfall,A mysterious force knocks the moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it.,2022-02-03,/odVv1sqVs0KxBXiA8bhIBlPgalx.jpg
279,Inside Out,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Riley's guiding emotions— Joy, Fear, Anger, Disgust and Sadness—live in Headquarters, the control centre inside Riley's mind, where they help advise her through everyday life and tries to keep things positive, but the emotions conflict on how best to navigate a new city, house and school.",2015-06-09,/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg
280,The Little Mermaid,This colorful adventure tells the story of an impetuous mermaid princess named Ariel who falls in love with the very human Prince Eric and puts everything on the line for the chance to be with him. Memorable songs and characters -- including the villainous sea witch Ursula.,1989-11-17,/plcZXvI310FkbwIptvd6rqk63LP.jpg
281,Wolf Hound,"Inspired by the real-life German special operations unit KG 200 that shot down, repaired, and flew Allied aircraft as Trojan horses, ""Wolf Hound"" takes place in 1944 German-occupied France and follows the daring exploits of Jewish-American fighter pilot Captain David Holden. Ambushed behind enemy lines, Holden must rescue a captured B-17 Flying Fortress crew, evade a ruthless enemy stalking him at every turn, and foil a plot that could completely alter the outcome of World War II.",2022-06-03,/gHC0eFvXXNokP3sSNCTG2uks87R.jpg
282,Cars 2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,2011-06-11,/okIz1HyxeVOMzYwwHUjH2pHi74I.jpg
283,Your Name.,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",2016-08-26,/q719jXXEzOoYaps6babgKnONONX.jpg
284,The Pope: Answers,"Ten young people from all over the world meet in Rome with Pope Francis with the aim of talking and conveying to him the main concerns of their generation. What awaits them is an unprecedented meeting, a face-to-face conversation, and a unique event.",2023-04-05,/dqyzHNor7wEYhWRzVRrEuvqbCkU.jpg
