pk,title,overview,release_date,poster_path
47,Queens on the Run,"When four women finally take the road trip they planned in high school, they have no idea of the things they'll bump into sometimes literally.",2023-04-14,/pufQnUSzjrf70cHR3mGxG0eXHem.jpg
48,Super Mario Bros.,"Mario and Luigi, plumbers from Brooklyn, find themselves in an alternate universe where evolved dinosaurs live in hi-tech squalor. They're the only hope to save our universe from invasion by the dino dictator, Koopa.",1993-05-28,/cudfWiiFDxj8rq1Myolzv6yY3ah.jpg
49,Legion of Super-Heroes,"Kara, devastated by the loss of Krypton, struggles to adjust to her new life on Earth. Her cousin, Superman, mentors her and suggests she leave their space-time to attend the Legion Academy in the 31st century, where she makes new friends and a new enemy: Brainiac 5. Meanwhile, she must contend with a mysterious group called the Dark Circle as it searches for a powerful weapon held in the Academy’s vault.",2023-02-07,/8M6bA5t2q5u1nWDTEIXuGDwvboW.jpg
50,Sonic the Hedgehog 2,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",2022-04-08,/6DrHO1jr3qVrViUO6s6kFiAGM7.jpg
51,Roald Dahl's Matilda the Musical,"An extraordinary young girl discovers her superpower and summons the remarkable courage, against all odds, to help others change their stories, whilst also taking charge of her own destiny. Standing up for what's right, she's met with miraculous results.",2022-11-25,/ga8R3OiOMMgSvZ4cOj8x7prUNYZ.jpg
52,Prey for the Devil,"In response to a global rise in demonic possessions, the Catholic Church reopens exorcism schools to train priests in the Rite of Exorcism. On this spiritual battlefield, an unlikely warrior rises: a young nun, Sister Ann. Thrust onto the spiritual frontline with fellow student Father Dante, Sister Ann finds herself in a battle for the soul of a young girl and soon realizes the Devil has her right where he wants her.",2022-10-23,/iCvgemXf2Kpr2LvpDmt5J9NhjKM.jpg
53,JUNG_E,"On an uninhabitable 22nd-century Earth, the outcome of a civil war hinges on cloning the brain of an elite soldier to create a robot mercenary.",2023-01-20,/z2nfRxZCGFgAnVhb9pZO87TyTX5.jpg
54,Black Warrant,A semi-retired special ops assassin and a DEA agent cross paths on separate missions to stop a cyber terrorist organization that has built a dangerous machine threatening to attack the power grid and bring catastrophe to the world.,2023-01-09,/A7vFFZHbDyxfjuYKzJwruTnwwjT.jpg
55,Solo Somos Carne,"A regular day for Bans and Uzu, little did they know a series of events would bring them face to face with an alternate reality and their chance to confront Dixon, a disturbed psychopath with blood on his hands and demons in his mind.",2022-10-13,/9eVqMhZEbq53VFbmRNqh3yzT0xM.jpg
56,The Simpsons Meet the Bocellis in Feliz Navidad,"This Christmas, Homer surprises Marge with the ultimate gift: an unforgettable performance from Italian opera superstar Andrea Bocelli and his children Matteo and Virginia.",2022-12-15,/9rJFKvYvSyQ3HoTl1gcU55FOzYi.jpg
